customer_id,external_customer_key,first_name,last_name,gender,birth_date,email,phone,language_code,country_code,country,city,postal_code,acquisition_channel,acquisition_source,marketing_opt_in,preferred_device_type,signup_datetime,first_order_datetime,last_order_datetime,lifetime_orders,lifetime_gross_revenue,lifetime_discount_amount,lifetime_net_revenue,total_refunds_amount,avg_order_value,loyalty_tier,customer_segment,is_active_customer,churn_risk_score
CUST0000001,CK-A61B6FB813E9,Mark,Johnson,male,2006-01-22,mark.johnson@outlook.com,533-521-8196x001,en,US,United States,Los Angeles,66738,Paid Search,Bing Ads,True,mobile,2024-01-03 10:00:48,2024-10-07 23:26:05,2025-11-26 03:42:49,7,3380.43,78.0,3566.63,420.16,509.52,Platinum,Occasional Buyer,True,34
CUST0000002,CK-11F0F4DCE896,Marcus,Dowerg,male,1959-05-18,marcus.dowerg@hotmail.com,+49(0)4332181960,de,DE,Germany,Munich,13389,Organic Search,DuckDuckGo,True,mobile,2023-12-18 03:09:55,,,0,0.0,0.0,0.0,0.0,0.0,Bronze,Prospect,False,58
CUST0000003,CK-657DAB5492AA,Lindsay,Hoffman,female,1988-09-08,lindsay.hoffman@icloud.com,001-486-537-9402x654,en,US,United States,Los Angeles,44619,Direct,Direct,True,mobile,2023-09-07 08:28:15,,,0,0.0,0.0,0.0,0.0,0.0,Bronze,Prospect,False,58
CUST0000004,CK-D39CD9058547,Timothée,Marie,male,1970-09-01,timothee.marie@icloud.com,+33 (0)4 26 33 21 81,fr,FR,France,Rennes,75532,Paid Search,TikTok Ads,True,tablet,2024-04-26 08:01:33,,,0,0.0,0.0,0.0,0.0,0.0,Bronze,Prospect,False,58
CUST0000005,CK-0D3931DA2C24,Mark,Johnson,male,1993-12-24,mark.johnson@yahoo.com,1-133-218-1960,en,CA,Canada,Toronto,J1K 9X4,Paid Search,Meta Ads,True,mobile,2024-09-13 15:23:12,2024-12-22 08:33:07,2025-09-20 12:24:49,5,1174.29,118.3,1200.69,0.0,240.14,Gold,Occasional Buyer,True,36
CUST0000006,CK-B6D1C6F33230,Alfred,Martinez,male,1999-02-18,alfred.martinez@gmail.com,+33 (0)3 65 38 90 83,fr,FR,France,Lille,91765,Direct,Direct,True,desktop,2026-01-05 03:22:36,,,0,0.0,0.0,0.0,0.0,0.0,Bronze,Prospect,True,58
CUST0000007,CK-82E19EDF8F97,Mike,Miles,male,1984-07-28,mike.miles@icloud.com,+1 (337) 940-2654,en,CA,Canada,Edmonton,N7E 2C6,Paid Search,TikTok Ads,True,desktop,2025-02-15 01:34:55,,,0,0.0,0.0,0.0,0.0,0.0,Bronze,Prospect,False,58
CUST0000008,CK-BCB6BB68B706,Ashley,James,female,2001-03-26,ashley.james@proton.me,(759)540-7816x184,en,US,United States,Boston,92850,Paid Search,Meta Ads,True,mobile,2023-07-19 20:05:57,2024-01-23 07:58:47,2024-07-09 00:03:52,3,1516.85,35.43,1599.93,1198.27,533.31,Gold,At Risk,False,76
CUST0000009,CK-3F586B802984,Martine,Morvan,non_binary,1956-07-04,martine.morvan@gmail.com,03 66 79 40 26,fr,FR,France,Lille,43384,Social,Instagram,False,mobile,2023-09-21 07:00:03,2023-09-24 13:40:21,2025-10-09 04:12:20,8,3331.17,25.74,3723.59,0.0,465.45,Platinum,Occasional Buyer,True,34
CUST0000010,CK-607066F1AB7A,Micaela,Cantón,female,2001-02-22,micaela.canton@hotmail.com,+34 734332181,es,ES,Spain,Málaga,39698,Organic Search,Google Organic,True,desktop,2024-07-07 08:28:32,,,0,0.0,0.0,0.0,0.0,0.0,Bronze,Prospect,False,58
CUST0000011,CK-26E202FE141B,Andrea,Stanley,female,1993-09-17,andrea.stanley@outlook.com,001-341-431-6475x25534,en,US,United States,Miami,70511,Paid Search,Meta Ads,False,mobile,2024-03-26 13:28:40,2024-04-08 04:12:25,2026-03-04 17:12:35,9,3295.04,123.6,1908.12,0.0,212.01,Gold,Loyal High Value,True,1
CUST0000012,CK-D71C9AA064E0,Héctor,Antón,male,1992-12-13,hector.anton@outlook.com,+34 741 338 908,es,ES,Spain,Barcelona,14031,Paid Search,Bing Ads,True,desktop,2023-07-07 19:26:50,2024-08-05 15:06:54,2025-03-25 08:05:07,3,1122.55,150.09,1176.68,614.22,392.23,Silver,At Risk,False,74
CUST0000013,CK-6FDA37C4544E,Denis,Fabre,male,1958-05-03,denis.fabre@gmail.com,0241161559,fr,FR,France,Nantes,33926,Direct,Direct,True,mobile,2026-03-06 07:59:45,,,0,0.0,0.0,0.0,0.0,0.0,Bronze,New Lead,True,18
CUST0000014,CK-FA73157AA77D,Amélie,Chauveau,female,1980-01-02,amelie.chauveau@gmail.com,02 53 61 84 95,fr,FR,France,Paris,73296,Referral,Customer Referral,True,mobile,2024-10-08 14:36:21,2025-02-01 15:07:27,2026-02-05 20:11:56,7,1610.98,0.0,1940.23,87.97,277.18,Gold,Loyal High Value,True,1
